word	frequency	num_vowels	syllables
мене	93	2	ме,не
него	88	2	не,го
себе	59	2	себе
тоа	59	2	то,а
нив	58	1
неа	58	2	не,а
дома	39	2	до,ма
очи	38	2	о,чи
рече	34	2	ре,че
живот	34	2	жи,ivot
е	30	1
така	29	2	та,ка
глас	29	1
ништо	26	2	ни,што
тој	26	1
време	25	2	вре,ме
нешто	25	2	не,што
рака	25	2	ра,ка
нас	24	1
животот	24	3	жи,во,тот
ти	24	1
ми	23	1
човекот	23	3	чо,ве,кот
години	22	3	го,ди,ни
тебе	21	2	те,бе
главата	21	3	гла,ва,та
лице	21	2	ли,це
Д	21	0
таа	20	2	таа
луѓето	20	3	луѓе,то
земја	20	2	зем,ја
тука	20	2	ту,ка
градот	19	2	гра,дот
човек	19	2	чо,век
вратата	19	3	вра,та,та
пат	19	1
земјата	19	3	зем,ја,та
светот	19	2	све,тот
се	18	1
си	18	1
куќа	18	2	ку,ќа
работа	18	3	ра,бо,та
јас	18	1
куќата	18	3	ку,ќа,та
ден	18	1
Филип	18	2	Фи,лип
глава	17	2	гла,ва
сега	17	2	се,га
не	17	1
сон	17	1
луѓе	16	2	луѓе
лицето	16	3	ли,це,то
работи	15	3	ра,бо,ти
му	15	1
душата	15	3	ду,ша,та
крв	15	0
вода	14	2	во,да
сè	14	0
нема	14	2	не,ма
селото	13	3	се,ло,то
камбаната	13	4	кам,ба,на,та
раката	13	3	ра,ка,та
жена	13	2	же,на
раце	13	2	раце
Стојанка	13	3	Сто,јан,ка
и	13	1
очите	13	3	очи,те
реков	13	2	ре,ков
ноќ	13	1
што	12	1
Не	12	1
надвор	12	2	над,вор
зборови	12	3	збо,ро,ви
Сандре	12	2	Сан,дре
место	12	2	ме,сто
друго	12	2	дру,го
прашање	12	3	пра,шање
знам	11	1
некој	11	2	не,кој
страв	11	1
збор	11	1
вели	11	2	ве,ли
син	11	1
свет	11	1
себеси	11	3	се,би,си
сум	11	1
поглед	11	2	пог,лед
жената	11	3	же,на,та
дете	10	2	де,те
сака	10	2	са,ка
солзи	10	2	сол,зи
срцето	10	2	срце,то
градите	10	3	гра,ди,те
нели	10	2	не,ли
заедно	10	3	за,ед,но
дојде	10	2	дој,де
страна	10	2	стра,на
насмеа	10	3	на,сме,а
вас	10	1
границата	10	4	гран,и,ца,та
сам	10	1
собата	10	3	со,ба,та
море	9	2	мо,ре
врати	9	2	ва,ти
име	9	2	и,ме
свадбата	9	3	сва,дба,та
бога	9	2	бо,га
случи	9	2	слу,чи
небото	9	3	не,бо,то
таму	9	2	та,му
ова	9	2	о,ва
има	9	2	и,ма
кажам	9	2	ка,жам
внатре	9	2	вна,тре
тишина	9	3	ти,ши,на
знае	9	2	зна,е
игра	9	2	и,гра
наоколу	9	4	на,о,ко,лу
масата	9	3	ма,са,та
град	9	1
Да	9	1
Елена	9	3	Е,ле,на
камен	9	2	ка,мен
Бела	9	2	Be,la
децата	8	3	де,ца,та
крај	8	1
немаше	8	3	не,ма,ше
татко	8	2	та,тко
музика	8	3	му,зи,ка
тутун	8	2	ту,тун
назад	8	2	на,зад
Крстан	8	1
радост	8	2	ра,дост
песна	8	2	пес,на
пролет	8	2	про,лет
болка	8	2	бол,ка
вечер	8	2	ве,чер
отвори	8	3	от,во,ри
врата	8	2	вра,та
прашав	8	2	пра,шав
портата	8	3	пор,та,та
девојката	8	4	де,вој,ка,та
пиво	8	2	пи,во
боја	8	2	бо,ја
долго	8	2	дол,го
прозорецот	8	4	про,зо,ре,цот
помисли	8	3	по,мис,ли
